date,text,website,hotel
2017-08-02, Rooms very small street noise shower was very small and there was a blue led light in the bathroom so I couldn t see properly No answer when ringing front desk and no answer when ringing room service   Comfortable bed staff friendly good food at restaurant good location property seemed clean nice flatscreen TV ,Booking.com,Euston
2017-07-11, Chiming from a local clock every 15mins but even this seemed to cease during the early hours   Staff were lovely breakfast had a good selection room was spacious and the bed was very comfortable Easy access to all amenities perfect for our requirements ,Booking.com,Euston
2017-07-11, The receipetionest on the night that I check in the service of the staff is not friendly and not welcoming Secondly the receipetionest double check in me which mean he checked in me with a room that have another guest Moreover when I checked in my room is on the 5th floor but due to the renovation so I have to take the stairs the problem here is that I m having a lot of luggages with me it isn t the receipetionest should call a concerge to help me out But he didn t I have to ask for it Over the facilities of the hotel it s fine However staffs training it s still needed to be improve to match with the brand This disappointed me a lot   The cleaness of the room and the bed is comfortable The concerage guy is nice and helpful ,Booking.com,Euston
2017-07-05, It was very noisy at the property Workmen were doing drilling and renovations right outside the breakfast room The sound made us leave rather than enjoy the breakfast offerings because it was so loud The hotel really should have asked the workmen to begin work in that particular area after breakfast service I understand that renovations need to be undertaken but more care should be taken in relation to guest comfort It was disappointing that nothing was listed on the booking com website or the Hilton website itself about the renovations taking place   The bed was comfortable and the room clean The wifi was strong and all of the staff members were lovely and welcoming The location being so close to Euston Station was absolutely brilliant ,Booking.com,Euston
2017-07-01, Reception staff seem to have problems booking people in ie couldn t find our name and told us we weren t booked in before checking system properly Not just us Also front rooms seem to have too much traffic noise  Location cleanliness,Booking.com,Euston
2017-06-25, Broken amenities in bathroom reported and not fixed we stayed in same room 4 days apart Male staff member on reception whom we encountered both stays was really rude and unhelpful Porter watched us struggle with bags up front stairs but didn t help  Beds and pillows so comfortable,Booking.com,Euston
2017-06-21, Staff and room  Got shouted at at man in gray suit after staying there for three weeks when repairs were being made on my property concierge man diabolical behaviour from a staff member so left he even spat at me,Booking.com,Euston
2017-06-02,  Breakfast was good although Tea was weak as it always is in hotels i just expected the Hilton to get that right never mind the overall stay was fantastic,Booking.com,Euston
2017-05-31, Gym wasn t available   Very close to Euston Station rail and underground Staff all very helpful Comfortable bed Quiet Stayed at back of hotel Breakfast everything you could want ,Booking.com,Euston
2017-05-30, My MAJOR problem with this hotel was that the wifi in my room only worked in a small corner close to the door This meant I had to work at the desk and type emails and do my business and then take my laptop and stand in the small corner until all my emails sent and updates were done Reception suggested I move to another room but that room was smaller with no work desk and really not what I paid for I specifically chose this hotel because it has a gym Nowhere on their website or in the hotel it shows that the gym is out of order but only when i changed and actually went to the gym there was a notice on the door Both these issues gave me such a bad impression of Hilton Euston London   It was very easy to travel from this location and the hotel seems to have a good standard at first glance and seems to be in line with other 4 star accommodation I liked the room and found it clean crisp and ideal with a desk to do work when I needed to ,Booking.com,Euston
