text,label,source
"No... sort of. Man, she could be cool, but all she does is get wrecked and do all the guys. She's blowin' them in the parking lot. ",disgust,MovieDialog
Poker sounds great. When do you play? ,happiness,MovieDialog
Washington! Always discussing the problems of Washington. Nobody ever thinks of the State--and my problems!  I *will* tell Jim Taylor. It's high *time* I told him a thing or two! ,anger,MovieDialog
"You know, Julie, even if this works - which it probably won't - that stuff is tricky. You don't know what it'll do to his brain. ",fear,MovieDialog
"David, please be rational. Let's go to Dr. Hirsch. ",fear,MovieDialog
"Amazing, Mr. Chang. This place is amazing! And that marble quarry in the valley is simply magnificent. Oh, I've looked around. I've seen everything. Your woodworkers and your cloth-weavers - they all seem so very, very happy. ",happiness,MovieDialog
"Oh my, isn't that pretty! What is it? ",happiness,MovieDialog
"Believe me. The Hound of the Baskervilles was an invention of Sir Arthur Conan Doyle's. And if you'd read the bloody book, you'd find that Holmes discovered your house of hell a fraud, a fake. ",anger,MovieDialog
"Mr. President--I stand guilty as *framed*! Because Section Forty is graft, and I was ready to say so. I was ready to tell you that one man in my state--Mister James Taylor-- was putting that dam through for his own profit! ",anger,MovieDialog
Let me get this straight. We drove all the way down to Klan country 'cause you heard a couple of guys talking? ,anger,MovieDialog
"Ah, you bet your life you didn't! You look in your papers, ladies and gentlemen, and you'll find Miss Mitchell's signed confession that she was the one that wrote it! ",anger,MovieDialog
Doesn't make sense.  How the hell does some fucking teenager get to the keys? ,anger,MovieDialog
You don't do what I say... I'll waste you myself. Got it? ,anger,MovieDialog
"Too hot, huh? Well, you tell that lazy jiggaboo the state of Mississippi ain't interested in his meteorological assessments. ",disgust,MovieDialog
"Now Phyllis, if you don't invite me, I'm coming anyway. ",anger,MovieDialog
Nothing.  My dad's dying.  I really need to talk to Alyssa. ,sadness,MovieDialog
"I don't think so.   I mean, him, he could be a scientist, maybe.  But you...  Exterminator, I'd understand.  But entopolgist?  No way. ",disgust,MovieDialog
You called me your girl? ,happiness,MovieDialog
I can't let him go alone. It's suicide! ,fear,MovieDialog
Fuck off.  I don't know what the hell you're talkin' about. ,anger,MovieDialog
"Why didn't you come to me yesterday, Mozart? This is a most painful situation. Yesterday I could have helped you. Today, I can't. ",sadness,MovieDialog
This is it.  A golden opportunity. Patrick can ask Katarina to the party. ,happiness,MovieDialog
"Your first start at DB, it's against Fairfax, and you miss the fucking bus. ",anger,MovieDialog
You're fuckin' crazy. You're all fuckin' crazy! ,anger,MovieDialog
What's happening to you? What happened to your face? ,fear,MovieDialog
"I don't ever see any of you precops down here, I'm not in trouble am I? ",fear,MovieDialog
WE HAVE TO GET OUT OF HERE!! ,fear,MovieDialog
"Kid--he thinks he's talking to that mob at home, but not a line we've written--not a word he's said from that floor has gotten into that home State. ",disgust,MovieDialog
"Lucky thing for me you snapped out of it, too. You saved my life. I never could have made it alone. ",happiness,MovieDialog
"Now, or he dies, please. ",fear,MovieDialog
"You're doin, okay?  That's good, Pete. ",happiness,MovieDialog
"I'm going to sleep in my bed. Come on, Lovey! ",happiness,MovieDialog
I'm sorry. It's really tough when your parents get older. ,sadness,MovieDialog
Why would they bury somebody in the ceiling? ,disgust,MovieDialog
It's good what you're doing. ,happiness,MovieDialog
Mister Welles. You're very prompt. ,happiness,MovieDialog
And this is legitimate therapy? ,disgust,MovieDialog
"My dear friend, it would be my greatest pleasure. ",happiness,MovieDialog
What does he want to--? What's *he* doing writing a Bill? ,disgust,MovieDialog
Gives us something in common. ,happiness,MovieDialog
"Listen up, jiggaboo! State of Mississippi ain't interested in your... in your...  metropolitan assets! ",anger,MovieDialog
"I am sorry, Madame, but no! I cannot let anyone pass. ",sadness,MovieDialog
"Man, you really bummed me out. That's a terrible story.  Nigger, you crying? ",sadness,MovieDialog
You have a dog? What kind? ,happiness,MovieDialog
I'm talking about... What are you talking about? ,fear,MovieDialog
Solis said to keep you clear of this. ,fear,MovieDialog
"So, it was a draw. ",sadness,MovieDialog
Casull .454 Magnum.  You're talking twice the impact energy of .44 Magnum hot loads. ,fear,MovieDialog
"But she isn't due for an hour, sir. ",fear,MovieDialog
He was scheduled to testify for a committee investigating organized crime in New England and the construction business. ,fear,MovieDialog
I'll come with you. ,happiness,MovieDialog
"Have you ever bent your knees, Malcolm? ",fear,MovieDialog
I think it's marvelous. Truly. ,happiness,MovieDialog
"Yes, lovely. We've had a lot of nice weather lately. ",happiness,MovieDialog
"Such a sweet boy. But after much thought and careful consideration, I've decided that the ruler for the next ten thousand years is going to have to be... me. ",happiness,MovieDialog
"There's another thing I've been thinking about. I don't know how you feel about the idea, Margie, because we've never talked about it. But I've been thinking lately, I've been thinking we should get married sometime. You and me. ",happiness,MovieDialog
Interesting approach. What was his name? ,happiness,MovieDialog
Yes! Yes! Let's get on with it. ,happiness,MovieDialog
"I have come to protect my investment, thank you very much. ",happiness,MovieDialog
Once I even told him I loved him. ,happiness,MovieDialog
And doing a very good job of it. ,happiness,MovieDialog
I think we could still have a chance. ,happiness,MovieDialog
"Watch out for the smile, boys. ",happiness,MovieDialog
Yes. Jeremy will be home for the weekend. And you can meet the kids. ,happiness,MovieDialog
Panda? I've always liked giant pandas... I've been to China and seen them in the wild. That's the kind of thing I can do if I want... now. I can do pretty much anything I want to do these days. ,happiness,MovieDialog
You have a beautiful face... the way the light hits it.  I'd like to take your picture.  You don't mind? ,happiness,MovieDialog
I'm having a party tomorrow. ,happiness,MovieDialog
"That's a real nice watch you got there, sir. Fancy old thing even plays a little tune. ",happiness,MovieDialog
Sure would like to see the house that Ruth built one more time. ,happiness,MovieDialog
"She's my sister, actually. ",happiness,MovieDialog
Creasy. Pinta likes him. ,happiness,MovieDialog
He's in.  It will be his pleasure. ,happiness,MovieDialog
"I'm aware that I don't look so great, but I thought you'd be glad to see me. ",happiness,MovieDialog
"They come through a few times each year.  Hello, Mrs. Saito, good to see you again!  It's a tour. ",happiness,MovieDialog
I'd be in Tahoe having fun if you had given up. ,happiness,MovieDialog
Bembry saved my Life. The Honorable Elijah Muhammad saved my life. ,happiness,MovieDialog
We're looking for the funniest costume! And the scariest! And the most imaginative! And the best costume of all! ,happiness,MovieDialog
"I teach her French, get to know her, dazzle her with charm and she falls in love with me. ",happiness,MovieDialog
"But now Casanova's back! And we're gonna sit around here all night eating pizza and telling stories! Hey, lets toast some marshmellows! ",happiness,MovieDialog
It's part of the hydrogalvanic system. The ocean tides are changed into energy somehow. ,happiness,MovieDialog
"Yeah, that's fine. Have a lot of it because she likes it. ",happiness,MovieDialog
Allie Reynolds. He's my boy. ,happiness,MovieDialog
1600 m.p.h.  and increasing! ,happiness,MovieDialog
"Thank you, sir. Thank you for your time. ",happiness,MovieDialog
Of course! That's exactly what I want. ,happiness,MovieDialog
"Seven. Lieutenant Zipp died this morning. Ted, Doctor Sandler says you'll be out in a week. Isn't that wonderful? ",happiness,MovieDialog
You're absolutely right. And I had to come all the way to a pigeon house in Shangri-La to find the only other person in the world who knew it. May I congratulate you? ,happiness,MovieDialog
"Oh, I'm feeling far too peaceful to be concerned about anything.  I think I'm going to like it here. ",happiness,MovieDialog
"Pop, for Christ's sake! ",happiness,MovieDialog
Could I come with you to getting a Gelati? ,happiness,MovieDialog
I'm glad you're here. Can you stay for a while? ,happiness,MovieDialog
"Okay, sweetheart. Have a lovely Birthday Party tomorrow. ",happiness,MovieDialog
Great!  The Government's putting dough in too many places *now*! ,happiness,MovieDialog
We can do that. ,happiness,MovieDialog
"We sure don't aim to cause any trouble... Yeah, she seems to grow on you. ",happiness,MovieDialog
Two: Of all the members of your unit you were the most highly decorated. ,happiness,MovieDialog
Finest kind. We'll sit where we can get the best view. ,happiness,MovieDialog
Of course I do. It's very good. Of course now and then - just now and then - it gets a touch elaborate. ,happiness,MovieDialog
"Well, anyway, it's *something* like that--  And it *is* important. That--that Steering Committee has *got* to see it that way. And I'm sure Senator Paine will do all he can--  He's a fine man, Miss Saunders, isn't he? He knew my father, you know. ",happiness,MovieDialog
When I used to have nightmares.  I brought my friends in to help me.  Until they all started dying. ,fear,MovieDialog
I didn't have much choice. ,sadness,MovieDialog
"I'm at work, asshole.  Where else? ",anger,MovieDialog
Come and get you! Shit! It's a damn half hour drive each way. Why didn't you talk to me about it first? ,anger,MovieDialog
I believe he is probably lying. ,anger,MovieDialog
I don't know what I'm doing. ,fear,MovieDialog
"Continue to play in the wrong key, like you're dyslexic. ",sadness,MovieDialog
"Don't be an asshole, David. Come here. ",anger,MovieDialog
"You see, Mr. Deeds, the opera is not conducted for profit. ",sadness,MovieDialog
"Well... it's silly, but... if you want to, why don't you? ",anger,MovieDialog
You sure you're down with this? ,fear,MovieDialog
I can't make out that shit. ,anger,MovieDialog
"Don't make me pull rank, Ripley. ",anger,MovieDialog
-- the problem is you're a big fake. You haven't got a clue what's wrong with that girl. ,anger,MovieDialog
I know... My girlfriends all dumped me after I put on the mask. They thought I'd lost it. ,sadness,MovieDialog
"Let me go now, you'll make me late. ",anger,MovieDialog
"We argued on Sunday. He went to work on Monday and stayed in the city during the week, like always. But on Thursday, when he normally comes home, he didn't. Didn't call either. Not till Saturday afternoon. ",anger,MovieDialog
It was in the cava and the hole sealed itself off. I must have jiggled it just enough to turn it loose. I can't feel it in the heart or the right pulmonary artery. So it's in the left pulmonary artery. ,sadness,MovieDialog
No!  We must do this alone. ,anger,MovieDialog
Where?  Show me where. ,fear,MovieDialog
If he doesn't lower his gun I'll fucking kill her. ,anger,MovieDialog
That's not really the point. ,sadness,MovieDialog
"Iraq, sir. We're over Iraq. ",sadness,MovieDialog
But how can I win? Adrian is stronger and smarter than me. ,fear,MovieDialog
What did you see? ,fear,MovieDialog
Shut up! Shut up your damn mouth! ,anger,MovieDialog
"If you give him the chance, Lansky will betray you like Judas. ",sadness,MovieDialog
"Sorry, Charlie. I gotta get my Johnson worked tonight. ",sadness,MovieDialog
The cape. The turban. She wouldn't understand. ,sadness,MovieDialog
It's just a joke.  A stupid joke. ,anger,MovieDialog
"Man, get outa my face. I ain't nobody's punk. ",sadness,MovieDialog
"What the fuck am I gonna protect that freak for?  He was Dino's boy, not mine.  He shows up with his mask on, leaves with his mask on.  Nobody knows. ",anger,MovieDialog
"Oh, yeah, does bein' in love make you stupid? ",anger,MovieDialog
We're trained to deal with these kinds of situations. ,sadness,MovieDialog
It's too late for plans. ,sadness,MovieDialog
I'm ashamed. I was bringing you to be killed. ,sadness,MovieDialog
"Do you know what Bembry is doing? You're so blind, everyone can see this but you!!! ",anger,MovieDialog
The drowning woman.  Anne... But it was too late.  Her little girl was already gone. ,sadness,MovieDialog
"Don't pity me. Pity yourself. You serve a wicked God. He killed Mozart, not I. Took him, snatched him away, without pity. He destroyed His beloved rather than let a mediocrity like me get the smallest share in his glory. He doesn't care. Understand that. God cares nothing for the man He denies and nothing either for the man He uses. He broke Mozart in half when He'd finished with him, and threw him away. Like an old, worn out flute. ",anger,MovieDialog
"Yeah, you can have the key. It's the key that's kept me locked to you all these years. I give it to you with pleasure.  Now I'm free. See how easy it is, Jack? All you got to do is give back what the man gave you, and you're free of him.  I've got to call my brother. ",anger,MovieDialog
Sure.  Then we had a fight this morning. ,anger,MovieDialog
When I am sure I am among friends. ,happiness,MovieDialog
You let us worry about that. ,fear,MovieDialog
Are you going to arrest me or talk me to death? ,anger,MovieDialog
"So, just how big was this fare? ",fear,MovieDialog
That's what I am to you? A contract? ,anger,MovieDialog
Why can't we just grab a goddamn beer. ,anger,MovieDialog
"She's partial to Joey, not me ",sadness,MovieDialog
"I assume you'll fill the...uh, window, with glass? ",anger,MovieDialog
"If you love me so much, Jack, you'll realize how disconcerting it is to share one's breakfast with the living dead! ",anger,MovieDialog
"Bring the film, or we kill him. ",anger,MovieDialog
I don't care what they're forming. I'm on my way and I don't like the idea of being stopped either. ,sadness,MovieDialog
"Well, we *must* see a lot of you, Senator. Come, Father. ",fear,MovieDialog
"Monthly! God, how shallow do you think Brad is? Why do I waste my time telling you this stuff? ",anger,MovieDialog
So now - A minor. Suddenly. ,sadness,MovieDialog
