date,text,website,hotel
2017-07-13, Although I appreciate this is a 4 star and not a 5 star it is nowhere near the standard of the other Firmdale hotels we have stayed at Room we had looked over a busy road not the leafy garden square and had just a shower no bath   Very friendly staff good cocktails in bar ,Booking.com,Dorset
2017-06-26, A night time bottle of water on the second night or something similar   Beautiful furnishings comfortable bed gorgeous view of Dorset Square very pleasant staff ,Booking.com,Dorset
2017-06-12, Our room was very small and had no view Tea and coffee facilities in the room would be an added bonus   The hotel is beautifully decorated The staff was very friendly and accommodating The restaurant had a good breakfast selection I can definitely recommend the hotel to anybody who would like a boutique hotel experience The hotel is within walking distance from Lords cricket grounds The mini bar is well stocked ,Booking.com,Dorset
2017-06-06, The bed was a bit small and short given that we are rather tall people Even though we thoroughly enjoyed breakfast the selection could have benefitted from also some more savoury items next to the egg varieties such as some cheese cold cuts   Nothing really to find fault with Overall a very well maintained property Beautiful room although a bit small with a nice view of the square Equally beautiful common areas Cosy sitting room and breakfast room Did not have dinner at the property but breakfast was marvellous as it was largely a served breakfast as opposed to only a buffet Staff was extremely friendly and accommodating Location is great as the immediate surroundings are away from the hectic traffic and still very close to the centre Just a few minutes away from either Baker Street or Marylebone tube stations ,Booking.com,Dorset
2017-05-29, We didnt like our first room but the staff traded our room when we asked They were as helpful as they could be while being totally booked up   We loved the location as well as the staff Lorenzo and Sarah from the front desk were incredibly helpful as well as Virgil and all the others we had a wonderful time ,Booking.com,Dorset
2017-05-15, Nothing   Superb staff Nice accomodating personal as the entire hotel sooo personal And the small little things like no extra charge for coffee on the room in the morning a tube of hand cream on the bedding table at night etc ,Booking.com,Dorset
2017-05-15, No complaints  Very pleasant boutique hotel close to Marylebone and Baker Street I chose a single room which was small normal in London but perfectly OK for a short stay for one person The bed was super comfy and I had a great nights sleep The room was nicely decorated with some nice touches Not much of a view but never mind Staff were very friendly and helpful There is a nice lounge and a bar and restaurant on site Has the feel of a top class hotel but at an affordable for London price Look forward to my next staff well done the owners and the staff ,Booking.com,Dorset
2017-05-13, Our first room had the generators outside the window the hum of the noise disturbed us We were moved quickly once we complained The rooms are small but beautifully appointed and invently decorated If you have mobility issues this could be an issue though there is an elevator   Dorset Square feels like a home away from home A small beautifully decorated property overlooking a private square that you can have a key to visit A restuarant on site serves breakfast lunch high tea dinner The first of the Firmdale group of hotels it has been refurbished in 2012 in Kit s charming and colourful style Eye candy at every turn from art work beautifully framed to cosy sofas and inventive colour combinations Staff is attentive and helpful Regent park a street away Marylebone and Baker Street underground stations within 1 2 a block making connections to other parts of London easy ,Booking.com,Dorset
2017-04-26, It was a comfortable room but small and expensive Service and decor were top notch though It is good for a short stay   Very homey feel Meticulously decorated with textiles very British Centrally located very clean Staff were all very friendly and helpful ,Booking.com,Dorset
2017-04-12, Rooms not the largest and no tea coffee making in the room I m being very picky here   The staff are excellent here and went out of their way to make our stay enjoyable The rooms are smaller than those you d get with a big chain hotel but are very comfortable and decorated fitted out to a class above the normal Very Quiet location for central London,Booking.com,Dorset
2017-04-11,  The staff are just so friendly Such a beautiful hotel clean breakfast was delecious On another note never been to a hotel where towels smelt good ,Booking.com,Dorset
2017-04-06, Too expensive Very poor value for money Very small 5sqm room See attached picture Not included breakfast in such a high price is a crime   Central location suitable for my meeting venue,Booking.com,Dorset
2017-03-01, The staff was not the warmest or nicest and didn t really complete the charm of the hotel The waiters at breakfast were rude and disorganised as for the front desk not very attentive   The finishing and maintenance of the rooms are of high quality The bed is really comfortable The hotel is charming The breakfast is really generous with a lot to choose from and excellent eggs ,Booking.com,Dorset
2017-02-24, Not much had a slight issue with waiting to long to be served at dinner but it was all sorted to our satisfaction   The Dorset Square Hotel is a delightful small hotel The staff make it They are so friendly The hotel itself is superbly located close to Regent s Park and the delightful Marylebone High Street and environs plus easy access to the rest of central London The rooms are beautiful and comfortable The bar and restaurant is a great place to eat and drink The cricket memorabilia and theme is quirky and fun and liked by non cricketing enthusiasts like the rest of my family and friends Thomas Lord s first cricket ground was the garden in the Square ,Booking.com,Dorset
2017-02-18, No complain at all   Wonderful hotel well renovated tastefully decorated close to everything extremely helpful stuff It was a true pleasure to stay there next time in London I definately stay here again ,Booking.com,Dorset
2017-02-05, The elevator broke and we were on the 4th floor But the help from staff covered this Another thing is that even though we emailed the facility and confirm the total rate including taxes or any extras we have not been informed that we needed to pay 200 GBP deposit per night We were on a business trip and didn t have that amount of money with us The reception was not very helpful on this matter but after a long discussion we managed to lower the deposit 100 GBP per night   The location and the staff is great The room was very clean and quiet It is a very nice alternative if you want to stay in a small and well decorated hotel in the centre of London ,Booking.com,Dorset
2017-01-18, In our room there was no teapot So we had to ask to hotel reception But It was not big deal Hotel staff brought teapot and cups to our room Thank you again   location was qutie good We took goldetour bus to Harry potter studio Which is just 1 minute from the hotel And it is very close to main shopping centre Hotel facillity was very unique and clean Staffs were very helpful ,Booking.com,Dorset
2017-01-15,  Small comfort details like nicer quality toiletries warmed towels and Tivoli radios at a few points just add to the already lovely vibe of the hotel It s impeccably clean and well appointed The breakfast was also excellent for a hotel ,Booking.com,Dorset
