text,label
Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious,joy
Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! 😂,joy
Been waiting all week for this game ❤️❤️❤️ #cheer #friday ❤️,joy
"@gardiner_love : Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! 😊💕",joy
"I feel so blessed to work with the family that I nanny for ❤️ nothing but love &amp; appreciation, makes me smile.",joy
"Today I reached 1000 subscribers on YT!! , #goodday, #thankful",joy
"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile",joy
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",joy
Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much ,joy
"@IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot",joy
I'm just still . So happy .\nA blast,joy
It's meant to be!! #happy #happy,joy
💥⚖️Yeah‼️ PAUL‼️⚖️💥  #glorious #BB18,joy
My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay ,joy
😱 @cailamarsai you've had me 😂 😂 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo,joy
@iamTinaDatta love you so much #smile 😊😊,joy
"@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!",joy
2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling,joy
@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs 珞,joy
"@luckiiCHARM_ Luckii, I'm changing in so many ways bc of Him!! It's a scary but joyful feeling, making me so strong.",joy
@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,joy
"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious",joy
"now that I have my future planned out, I feel so much happier #goals #life #happy #igotthis #yay",joy
Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;),joy
@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the #laughter,joy
@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday ,joy
@WSJNordics You make the world a more joyful place. #TheNiceBot,joy
