date,text,website,hotel
2017-08-03, If I had to improve something it would be that hot breakfast should be included in the breakfast price and not cost extra We did not opt in for breakfast for this reason   Best hotel I ve stayed in in the UK I particularly loved the staff their willingness to help you even at silly o clock in the morning ,Booking.com,Belgrave
2017-08-02, Rooms could have been bigger for an exec room  We liked that it was close to the tube and that the hotel was welcoming We enjoyed the continental breakfast but felt that the cooked breakfast could have been included in the rate rather than extra this always seem to say if in London you get charged more making the short break say more bout monies spent rather than the whole London experience ,Booking.com,Belgrave
2017-08-02, Windows were thin so when your room is at the driveways side you pretty much hear everything Room didn t have refrigerator   Breakfast was excellent and rooms were better than we thought they would be Really close to Victorias station and Pimlico line Good soundproof between the rooms ,Booking.com,Belgrave
2017-08-02, The roof leaked from the air conditioning all night in the room Highly annoying drip keeping us awake most of the night   Nice looking hotel with friendly staff Just didn t get the best nights sleep due to a leak in the room ,Booking.com,Belgrave
2017-07-30, Staff was OK but would not say excellent Breakfast if you choose to eat there was very good but pricey You can eat out for less and get same meal   Location was great for us A small walk to underground Would stay again This area has LOTS of similar hotels to choose from ,Booking.com,Belgrave
2017-07-27,  Great central location walking distance to Victoria or Pimlico Hotel fresh and clean lovely continental breakfast Will return if the price is right ,Booking.com,Belgrave
2017-07-18,  The staff here are so lovely Always smiling Great location as quite near popular tourist places in London Breakfast was always delicious too Thank you for a wonderful stay ,Booking.com,Belgrave
2017-07-18,  Lovely hotel All mod cons were provided in the room Room was not the biggest I have stayed in but was fine for a weekend stay Free parking outside at the weekend which for London could easily have saved you 40 Would definitely stay here again as staff were friendly and accomadating ,Booking.com,Belgrave
2017-07-18, Nothing   The breakfast was excellent Everything was so fresh and the coffee options were excellent The staff helped us order a taxi It was a wonderful one night stay ,Booking.com,Belgrave
2017-07-17, The mattress should have been retired a long time ago very uncomfortable and you stay a hotel to get a good night s rest Bar in lobby not invited no food except breakfast buffett   Good feeling to property neighborhood room size,Booking.com,Belgrave
2017-07-16, Only breakfast available would have been good be able to get some snacks light meals during the rest of the day   Staff were so friendly and helpful,Booking.com,Belgrave
2017-07-11,  Amazing rooms Great customer service In the room there was also available a phone that could be used around to make calls and surf the internet without limits or restrictions that s an unique service never saw any other hotel taking so much care of their guests ,Booking.com,Belgrave
2017-07-11,  Room was clean although a little small Nice breakfast although a bit rushed arrived at 9 05am to be advised that we needed to get what you want quickly as the buffet will be cleared away at 9 30am And it was promptly ,Booking.com,Belgrave
2017-07-10, we didn t book a longer stay   Wonderful hotel wonderful staff wonderful room wonderful stay Absolutely perfect and will definitely be staying again on another visit to London Thank you The Belgrave ,Booking.com,Belgrave
2017-07-10, Found the room very small for 2 people It had everything we needed but the bed was a small double and it just seemed a little cramped   The location of the hotel for us was excellent Hotel was very clean and the staff were very informative and very friendly ,Booking.com,Belgrave
2017-07-09,  Tiny room but I understand cuz it was in London There were not a lot of food at the breakfast but overall it was alright The room was clean and the staff was nice ,Booking.com,Belgrave
2017-07-08, Shower was a bit lukewarm but as it was a roasting hot day we weren t too fussed by this  Compact and bijou Lovey and clean nicely decorated and great location Staff were friendly and very helpful Would definitely recommend ,Booking.com,Belgrave
2017-07-05,  Loved our stay here The room was small but I expect this from a city centre hotel it was clean quiet and comfy Staff were excellent and breakfast which was included was good Fab location and I would definitely stay here again,Booking.com,Belgrave
2017-07-03, I asked for a wake up call at 7am and it didn t happen Fortunately I woke up at 7 20 and managed to get to the business appointment on time   Nice decoration room very clean and a very comfortable bed ,Booking.com,Belgrave
2017-07-02, We booked the executive double Nice view but don t be expecting them to be spacious Also we had to request fresh towels and the room to be cleaned This wouldn t of happened if we hadn t of asked This stay was for 2 nights   Great location nice places to eat around the hotel short walk from the tube station Decent 20mins walk to Buckingham palace Nice view from the top floor bedrooms ,Booking.com,Belgrave
2017-07-02,  Second time staying here and again was not disappointed From check in to check out the staff were so friendly and welcoming Rooms regularly cleaned and the hotel is ideally located near both Pimlico and Victoria stations Will be back again for sure ,Booking.com,Belgrave
2017-07-01, no eggs included in the buffet to be ordered la carte cleanliness so and so  breakfast location smartphone with unlimited data and phone calls ,Booking.com,Belgrave
2017-06-26,  The air con was fantastic as it was 30 degrees outside The room was lovely and the bed was really comfy walking distance to Victoria station and Pimlico tube and bus stop along from hotel so very easy to get about Staff were friendly and helpful and available 24hrs,Booking.com,Belgrave
2017-06-26, Tiny closet  Room was a good size by London standard Location is great air conditioned rooms lift great coffee machine small fridge a lot of outlets The mobile phone to use during the state with unlimited service is a very useful thing to have ,Booking.com,Belgrave
2017-06-25, The room was small and did not have a luggage rack so we had a hard time with the suitcases The staff could not answer any questions about the tube etc and they were argumentative with each other and us We wanted to order a taxi and the man wanted to order a town car for a 10 minute ride We will not stay at this hotel again   We could walk to Pimlico station The tv had several English channels ,Booking.com,Belgrave
2017-06-23, We had a compact room which was as it said but had everything in it and spotlessly clean   Beautiful hotel in a lovely location staff were so nice and friendly and a wonderful breakfast in the morning very impressed with everything,Booking.com,Belgrave
2017-06-23,  Lovely property fitted out to a high standard We were attending Chelsea Flower Show and booked this hotel mainly because it was only a 15 minute walk to the show but we really enjoyed our stay at the Belgrave ,Booking.com,Belgrave
2017-06-20, My room was rather small   The breakfast was excellent The decor and fittings all modern A good location between two different stations depending on where you want to travel Bus close by too In walking distance to Knightsbridge area and Harrods ,Booking.com,Belgrave
