V1,V2,V3,V4
011000015FRB-BOS,FEDERAL RESERVE BANK OF BOSTON     ,Y,Y20040910
011000028STATE,ST BOS STATE STREET BOSTON     ,Y,Y
011000536FHLB,BOSTON FEDERAL HOME LOAN BANK     ,Y,Y
011001234MELLON,TRUST OF NETHE BANK OF NEW YORK MELLON  ,Y,N20120815
011001276ONEUNITED,BANK ONEUNITED BANK       ,Y,Y20021231
011001881FIDUCIARY,TR BOS FIDUCIARY TRUST COMPANY     ,Y,Y
011002343BOSTON,PRIVATE BK THE BOSTON PRIVATE BK. & TR CO ,Y,Y
011002550EASTERN,BANK LYNN EASTERN BANK      ,Y,N20110318
011002877EW,BK SMRINO EAST WEST BANK     ,Y,N20141107
011075150SANTANDER,"BK SANTANDER BANK, N.A.      ",Y,Y20131029
011075202SANTANDER,"BK SANTANDER BANK, N.A.      ",Y,N20140414
011102133CITIZENS,PUTNAM CITIZENS NATIONAL BANK      ,Y,Y
011102353FIRST,SUFFIELD FIRST NAT. BANK OF SUFFIELD    ,Y,Y
011102502UNION,SAVINGS UNION SAVINGS BANK      ,Y,N20101223
011102612SALISBURY,LAKEVLLESALISBURY BANK & TRUST CO.     ,Y,Y
011102638NATLIRON,SALISBURYTHE NATIONAL IRON BANK      ,Y,Y
011102667CANAAN,NATL SALISBURY BANK & TRUST CO.    ,Y,N20141107
011103093TD,"BANK, NA TD BANK, NA     ",Y,N20141107
011104322FST,"CITY N BRITAINWEBSTER BANK, N.A.     ",Y,N20100416
011104335PRIME,BANK ORANGE PRIME BANK      ,Y,Y
011104351SIMSBURY,B&T SIMSBURY BANK AND TRUST CO    ,Y,Y19991223
011110617BANKERS',NE GLAST BANKERS' BANK NORTHEAST     ,Y,Y20141107
011110659LIBERTY,MIDDLETOWNLIBERTY BANK        ,Y,N20130624
011110675NO,"AMER BK & TR WEBSTER BANK, N.A.   ",Y,N20141107
011110701WEBSTER,"BANK CT WEBSTER BANK, N.A.     ",Y,N20100412
011110756START,COMM BANK START COMMUNITY BANK     ,Y,N20101221
011175212CT,"COMMUNITY BK NACONNECTICUT COMMUNITY BANK, N.A.    ",Y,N20150813
011200475BANGOR,SVGS BK BANGOR SAVINGS BANK     ,Y,N20141107
011200585DAMARISCOTTA,BANK DAMARISCOTTA BANK & TRUST CO    ,Y,Y
011200608KEY,BANK MAINE KEYBANK NATIONAL ASSOCIATION     ,Y,N20120507
011201306CAMDEN,NATIONAL BKCAMDEN NATIONAL BANK      ,Y,N20060928
011201380CAMDEN,NATL ME CAMDEN NATIONAL BANK     ,Y,N20100308
011201432PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011201458CAMDEN,NATL ME CAMDEN NATIONAL BANK     ,Y,Y
011201490THE,BANK OF MAINE THE BANK OF MAINE   ,Y,N20141107
011201500PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011201526PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011201759BAR,HARBOR BK TR BAR HARBOR BANK & TRUST  ,Y,Y20050603
011201762FIRST,"BAR HARBOR THE FIRST, NATIONAL ASSOCIATION    ",Y,N20141107
011201830FIRST,"DAMARISCOTTATHE FIRST, NATIONAL ASSOCIATION      ",Y,Y20050517
011201995LIVERMORE,FALLS TRANDROSCOGGIN SAVINGS BANK      ,Y,N
011202392KATAHDIN,TR PATTENKATAHDIN TRUST COMPANY      ,Y,Y
011202907THE,BANK OF MAINE THE BANK OF MAINE   ,Y,N20110513
011202910TD,"BANK USA, N.A. TD BANK USA, NATIONAL ASSOCIATION  ",Y,N20141107
011300142COMMERCE,WORCESTERCOMMERCE BANK & TRUST CO.     ,Y,Y
011300595CAMBRIDGE,TR CO CAMBRIDGE TRUST COMPANY     ,Y,Y
011301390CENTURY,SOMERVILLECENTURY BANK & TRUST COMPANY     ,Y,Y
011301798EASTERN,BANK LYNN EASTERN BANK      ,Y,Y20020501
011301992BANKFIVE,BANKFIVE         ,Y,N20141107
011302603NORTHMARK,N ANDOVRTHE NORTHMARK BK      ,Y,Y20100726
011302616PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011302742ENTERPRISE,LOWELL ENTERPRISE BANK & TR. CO.    ,Y,Y
011302768PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011303097NORTHERN,BK WOBURNNORTHERN BANK AND TRUST CO    ,Y,Y
011303327MILFORD,NATL MILFORD NATIONAL BK. & TR.    ,Y,Y
011304300NATL,MARBLEHEAD NAT. GRAND BK. OF MARBLEHEAD    ,Y,Y
011304478ROCKLAND,TRUST ROCKLAND TRUST COMPANY      ,Y,Y
011304711FIRST,IPSWICH FIRST IPSWICH BANK      ,Y,Y20120813
011305202MILLBURY,NATL MILLBURY NATIONAL BANK      ,Y,Y
011305260IFS,NEWBURYPORT INSTITUTION FOR SAVINGS      ,Y,N20141024
011305684EDGARTOWN,NATL EDGARTOWN NATIONAL BANK      ,Y,Y
011307077EASTERN,BANK LYNN EASTERN BANK      ,Y,N20141107
011307129LEADER,BK ARLINGTNTHE LEADER BANK      ,Y,N20130919
011375384AVIDIA,BANK AVIDIA BANK       ,Y,N20150630
011400071TD,"BANK, NA TD BANK, NA     ",Y,N20141107
011400149ST,MARYS MANCHESTRST MARYS BANK      ,Y,Y20100308
011401850BK,OF NEW ENGLAND BANK OF NEW ENGLAND   ,Y,Y20070329
011401928MERRIMACK,COUNTY MERRIMACK COUNTY SAVINGS BK     ,Y,N20130919
011401960PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011402024EASTERN,BANK LYNN EASTERN BANK      ,Y,N20141209
011402053HAMPSHIRE,FIRST BKNBT NATIONAL ASSOCIATION      ,Y,N20121213
011402079OPTIMA,BANK OPTIMA BANK & TRUST     ,Y,N20080129
011500120CITIZENS,"BANK, NA CITIZENS BANK, NATIONAL ASSOCIATION    ",Y,Y20150203
011500858WASH,TR WESTERLY WASHINGTON TRUST COMPANY     ,Y,Y
011500913CENT,W WARWICK CENTREVILLE SAVINGS BANK     ,Y,Y
011501682BK,RI PROVIDENCE BANK OF RHODE ISLAND    ,Y,Y20030515
